"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"A-Ha","19853","STAY ON THESE ROADS","Cold has a voice","EUA","INT10B"
"A-Ha","4973","TAKE ON ME","We're talking away","EUA",""
"A-Ha","20034","THERES NEVER A FOREVER THING","Dearest close your eyes now","EUA","INT11B"
"A-Ha","20508","TOUCHY!","Donna found us in her slow and dreamy way","EUA","INT14G"
"A-Ha","19400","YOU ARE THE ONE","You are the one who has done me in
","EUA","INT07B"
"Ai","18486","BELIEVE","Dokoka tohku de koe ga kikoeru","JAP","JP7D"
"Ai","18319","YOU ARE MY STAR","Furuete iru watashi no te ni hajimete","JAP","JP6C"
"A.I.","2017","STORY","Kagirareta toki no naka de","JAP","JP4A"
"Ai Johji & Shiki Chinami","5103","AKAI GLASS","Kutibiru yossereba naze ka","JAP","JP1"
"Aikawa Nanase","5678","BYE BYE","Naze nante iwanai de iwanai...","JAP","JP3"
"Aikawa Nanase","5815","SWEET EMOTION","Hadashi de odorou volume agete...","JAP","JP3"
"Aikawa Nanase","5645","YUME MIRU SHOJYO JYA IRARENAI","Goossen reijino…","JAP","JP2"
"Aiko","2031","KABUTO MUSHI","Nayanderu karada ga atsukute","JAP","JP4A"
"Air Supply","9243","ALL OUT OF LOVE","I'm lying alone with my bed on the phone","EUA",""
"Air Supply","9105","EVEN THE NIGHTS ARE BETTER","I I was the lonely one wondering what went","EUA","INT02-8D"
"Air Supply","20523","EVERY WOMAN IN THE WORLD","Overnight scenes dinner and wine","EUA","INT14J"
"Air Supply","19433","GOODBYE","I can see the pain living in your eyes
","EUA","INT07C"
"Air Supply","5911","HERE I AM","Here I am playing with those memories again","EUA",""
"Air Supply","19965","I CAN WAIT FOREVER","When you say I miss the things","EUA","INT11A"
"Air Supply","19769","LONELY IS THE NIGHT","Really thought that I could live without you","EUA","INT09D"
"Air Supply","4935","LOST IN LOVE","I realize the best part of love","EUA",""
"Air Supply","19499","MAKING LOVE OUT OF NOTHING AT ALL","I know just how to whisper
","EUA","INT08A"
"Air Supply","9182","THE ONE THAT YOU LOVE","Now the night has gone","EUA","INT02-8E"
"Ai Takano (Tema Jaspion)","18627","ORE GA SEIGI DA JASPION","Come on boy tsurai toki hodo","JAP","JP8C"
"AKB48","18601","365 NICHI NO KAMI HIKOHKI","Asa no sora o miagete","JAP","JP8C"
"Akikawa Masafumi","2015","SEN NO KAZE NI NATTE","Watashi no ohaka no mae de","JAP","JP4A"
"Akimoto Junko","18602","AI KAGI","Platform ni hito ga afure","JAP","JP8C"
"Akimoto Junko","2022","AI NO MAMA DE...","Kotori tachi wa nani o sawagu no","JAP","JP4A"
"Akimoto Junko","2124","AME NO TABIBITO","Soshite mata kisetsu wa utsuri yuku","JAP","JP4D"
"Akimoto Junko","2011","MADINSON GUN NO KOI","Kareha ga aoba ni yomigaeru","JAP","JP4A"
"Akimoto Junko","18233","TASOGARE LOVE AGAIN","Tasogareta fuhkei wa sabishige na","JAP","JP6A"
"Akioka Shuji","18562","AIBOH ZAKE","Anna onna ga hoshi kereba
","JAP","JP8B"
"Akioka Shuji","18643","AITSU - OTOKO NO YUJOH","Aitsu to nondeta kono mise de konnya mo","JAP","JP8D"
"Akioka Shuji","2296","OTOKO NO TABIJI","Hito no isshoh ichido kiri","JAP","JP5C"
"Akioka Shuji","18432","SAKE BOJO","Kokoro ni kesenai hito ga iru sake de","JAP","JP7B"
"Akon","20647","SORRY BLAME IT ON ME","I´m sorry for the times that I left you home","EUA","INT15E"
"Akon - Colby O´Donis","20731","BEAUTIFUL","When I see you I run out of words","EUA","INT15P"
"Akundum","3563","EMACONHADA","Kaya erva danada... É reggae sim se é reggae","BRA","1D"
"Alan","18485","BALLAD ~NAMONAKI KOI NO UTA~","Kizu tsuita tsubasa de kimi wa yuku","JAP","JP7D"
"Alan","18580","KUON NO KAWA","Moh soko ni wa kaze no ne ga hibiki
","JAP","JP8B"
"Alan e Aladim","17691","A DOIS GRAUS","Quase um ano de espera debrucado na janela","BRA","39P"
"Alan e Aladim","16652","DOIS PASSARINHOS","No instante em que voce me beija","BRA","33B"
"Alan e Aladim","16394","LIGUEI PRA DIZER QUE TE AMO","Ja e tarde e quase madrugada","BRA","31C"
"Alanis Morissette","20453","EVERYTHING","I can be na asshole of the grandest kind","EUA","INT14B"
"Alanis Morissette","19100","HAND IN MY POCKET","I'm broke but I'm happy I'm...
","EUA","INT05C"
"Alanis Morissette","20421","HANDS CLEAN","If it weren`t for your maturity none of this would","EUA","INT13Q"
"Alanis Morissette","4922","IRONIC","Hey yeah... An old man turned ninety eight","EUA",""
"Alanis Morissette","20615","KING OF PAIN","There´s a little black spot on the sun today","EUA","INT15B"
"Alanis Morissette","19902","OFFER","Who who am I to be blue","EUA","INT10C"
"Alanis Morissette","19147","THANK U","How 'bout getting off of these...
","EUA","INT05D"
"Alanis Morissette","2570","THAT I WOULD BE GOOD","That I would be good even if I did not","EUA","INT04B"
"Alanis Morissette","19354","UNINVITED","Like anyone would be I am flattered by you","EUA","INT07A"
"Alanis Morissette","4997","YOU LEARN","Oooh, oooh-do, do.... I recommend getting","EUA",""
"Alanis Morissette","4850","YOU OUGHTA KNOW","I want you to know that I'm happy for","EUA",""
"Alan Jackson","9026","EVERYTHING I LOVE","Coffee keeps me up and I can't sleep","EUA",""
"Alan Jackson","9036","I'LL TRY","Here we are talkin' bout forever","EUA",""
"Alan Jackson","9041","LIVIN' ON LOVE","Two young people without a thing","EUA",""
"Alan Jackson","9139","MIDNIGHT IN MONTGOMERY","Midnight in Montgomery silver eagle lonely","EUA","INT02-8F"
"Alannah Myles","2602","BLACK VELVET","Mississippi in the middle of the dry s","EUA","INT04C"
"Alan Parson's Project (The)","4888","EYE IN THE SKY","Don't think sorry's easily said","EUA",""
"Alan Parson's Project (The)","9187","TIME","Time flowin' like a river","EUA","INT02-8F"
"Alan Walker","19984","FADED","You were the shadow to my","EUA","INT11A"
"Alavontê","15607","Ê LÁ EM CASA","Ela atravessa a rua e vem falar comigo mas","BRA","26D"
"Albert Hammond","4626","FOR THE PEACE OF ALL MANKIND","You turn me on so bad that there was on","EUA","USAF"
