"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Padre Zezinho","2738","PRA QUE EU SAIBA PERDOAR","Pra não ferir ninguém eu vim te procurar","BRA","21C"
"Padre Zezinho","2777","UM CORAÇÃO PARA AMAR","Um coração para amar","BRA","21D"
"Padre Zezinho","15516","UTOPIA","Das muitas coisas do meu tempo de","BRA","26A"
"Pagod'art","6118","TAPA NA CARA","""Você não pediu maínha eu vou te dar danada","BRA","5A"
"Palavra Cantada","16151","SOPA","Que que tem na sopa do neném
","BRA","30A"
"Paloma Faith - Teddy Swims","20567","ONLY LOVE CAN HURT LIKE THIS","I`d tell myself you don`t mean a thing","EUA","INT14N"
"Pamela","7884","UM VERSO DE AMOR","Me lembro bem a primeira vez que te olhei nos","BRA","EVC"
"Panic At The Disco","19973","HIGH HOPES","Had to have high high hopes","EUA","INT11A"
"Panic At The Disco","19034","I WRITE SINS NOT TRAGEDIES","Oh well imagine as I","EUA","INT05A"
"Panic At The Disco","19037","NINE IN THE AFTERNOON","Back to the street where we began","EUA","INT05A"
"Paolo","15018","TANTA COISA","Esse olhar de lua crescente","BRA","23A"
"Paolo - Kell Smith","16533","CADE O AMOR","Sinto que voce mudou ou mudamos nos","BRA","32C"
"Papas da Língua","1204","BALADA DO AMOR PERDIDO","Feche os olhos meu amor","BRA","16B"
"Papas da Língua","7563","BLUSINHA BRANCA","De blusinha branca de blusinha branca","BRA","11D"
"Papas da Língua","1144","DISCO ROCK","Ela não pensou não acreditou","BRA","15C"
"Papas da Língua","7355","EU SEI","Eu sei... tudo pode acontecer eu sei nosso","BRA","10E"
"Papas da Língua","7992","LUA CHEIA","Na na na... Eta vidinha da boa ela me chama","BRA","12B"
"Papas da Língua","9474","MARY JANE","Shalala shalala... Atrás de uma Maria atrás de","BRA","13D"
"Papas da Língua","1090","OBA, OBA","Oba oba oba... Disseram que você anda","BRA","15B"
"Papas da Língua","9512","PEQUENO GRANDE AMOR","No no no... Meu amor pequeno grande amor","BRA","13E"
"Papas da Língua","7679","PRA GENTE PASSEAR","Nada vai fazer com que eu desista de","BRA","11B"
"Papas da Língua","9901","UM DIA DE SOL","Você falou que não ia fugir que não ia desistir","BRA","14B"
"Paquitas","2671","FADA MADRINHA (E TAO BOM)","E tão bom bom bom bom quem quer pão","BRA","21B"
"Paquitas (TV Colosso)","17896","EU NAO LARGO O OSSO","Tchurururururu au... Treinei o meu cachorro","BRA","41B"
"Parabéns a Você","3205","PARABÉNS A VOCÊ","Parabéns pra você nessa data querida","BRA",""
"Paralamas do Sucesso","15804","ALAGADOS","Todo dia o sol da manhã vem e lhes desafia","BRA","28A"
"Paralamas do Sucesso","1001","A LHE ESPERAR","Lá onde o vento vai dar onde a nuvem beija ","BRA","15A"
"Paralamas do Sucesso","3602","A NOVIDADE","A novidade veio dar à praia","BRA","2A"
"Paralamas do Sucesso","6046","AONDE QUER QUE EU VÁ","Olhos fechados pra te encontrar","BRA","4H"
"Paralamas do Sucesso","4388","ASSALTARAM A GRAMÁTICA","Assaltaram a gramática uo ô","BRA","4D"
"Paralamas do Sucesso","3992","BUSCA VIDA","Vou sair pra ver o céu","BRA","3B"
"Paralamas do Sucesso","7310","CALEIDOSCÓPIO","Não é preciso apagar a luz eu fecho os olhos","BRA","10B"
"Paralamas do Sucesso","7313","CAPITÃO DE INDÚSTRIA","Eu às vezes fico a pensar em outra vida lugar","BRA","10C"
"Paralamas do Sucesso","7317","CINEMA MUDO","Uôlei uôlei ôh... Amor sem palavras cinema","BRA","10A"
"Paralamas do Sucesso","6530","CUIDE BEM DO SEU AMOR","A vida sem freio me leva me arrasta me cega","BRA","6D"
"Paralamas do Sucesso","3997","ELA DISSE ADEUS","Ela disse adeus Let her get on with li","BRA","3B"
"Paralamas do Sucesso","3571","LA BELLA LUNA","Por mais que eu pense,","BRA","1A"
"Paralamas do Sucesso","3526","LANTERNA DOS AFOGADOS","Quando tá escuro e ninguém te ouve","BRA","1D"
"Paralamas do Sucesso","3667","LOURINHA BOMBRIL","Para e repara, olha como ela samba","BRA","2B"
"Paralamas do Sucesso","16066","ME LIGA","Eu sei jogos de amor são pra se jogar
","BRA","29C"
"Paralamas do Sucesso","3149","MELÔ DO MARINHEIRO","Sabe de uma coisa rapaz","BRA","1H"
"Paralamas do Sucesso","3155","MEU ERRO","Eu quis dizer você não quis escutar","BRA",""
"Paralamas do Sucesso","1170","MEU SONHO","Pode ser que meu sonho seja assim","BRA","16A"
"Paralamas do Sucesso","6945","NA PISTA","Tão chato o fato de não te ter não tentar não","BRA","8B"
"Paralamas do Sucesso","3532","O BECO","No beco escuro explode a violência","BRA","1C"
"Paralamas do Sucesso","6501","O CALIBRE","Eu vivo sem saber até quando ainda estou vivo","BRA","6C"
"Paralamas do Sucesso","3195","ÓCULOS","Se as meninas do Leblon","BRA","1K"
"Paralamas do Sucesso","17164","PERPLEXO","Tentei te entender voce não soube explicar","BRA","36F"
"Paralamas do Sucesso","3769","ROMANCE IDEAL","Ela é só uma menina e eu pagando pelos","BRA","2D"
"Paralamas do Sucesso","17307","SABADO","Gotas de amor sobre as feridas","BRA","37G"
"Paralamas do Sucesso","15150","SABER AMAR","A crueldade de que se é capaz deixar pra trás os corações partidos","BRA","23D"
"Paralamas do Sucesso","6591","SEGUINDO ESTRELAS","Sigo palavras e busco estrelas o que é que","BRA","6E"
"Paralamas do Sucesso","7444","SERÁ QUE VAI CHOVER","Eu fico pedindo atenção cachorro faz","BRA","10B"
"Paralamas do Sucesso","7449","SKA","A vida não é filme você não entendeu","BRA","10A"
"Paralamas do Sucesso","7461","TENDO A LUA","Eu hoje joguei tanta coisa fora eu vi o  meu","BRA","10D"
"Paralamas do Sucesso","7468","TRAC TRAC","Não passa o tempo ao menos para mim","BRA","10B"
"Paralamas do Sucesso","3281","UMA BRASILEIRA","Rodas em sol trovas em do","BRA","1C"
"Paralamas do Sucesso","15515","UM PEQUENO IMPREVISTO","Eu quis querer o que o vento não leva pra","BRA","26A"
"Paralamas do Sucesso","6199","VITAL E SUA MOTO","Vital andava a pé e achava que assim estava","BRA","5C"
"Paralamas do Sucesso","3688","VOCÊ","Você é algo assim é tudo pra mim","BRA","2B"
"Paralamas do Sucesso - Frejat","6719","UNS DIAS","O expresso do oriente","BRA","7B"
"Paralamas do Sucesso - Marisa Monte","17388","O AMOR NAO SABE ESPERAR","Sopra leve e o vento leste encrespa o mar","BRA","37Q"
"Paramore","2543","CRUSH, CRUSH, CRUSH","I got a lot to say to you","EUA","INT04B"
"Paramore","19964","DECODE","How can I decide whats right","EUA","INT11A"
"Paramore","20246","MISERY BUSINESS","I`m in the business of misery","EUA","INT12D"
"Paramore","19399","THAT'S WHAT YOU GET","No sir well I don't wanna be the blame not anyone
","EUA","INT07B"
"Paramore","2557","THE ONLY EXCEPTION","When I was younger I saw my daddy cry","EUA","INT04B"
"Parangolé","16741","ELA NAO QUER GUERRA COM NINGUEM","Uma mulher de cabelo feito","BRA","33D"
"Parangolé","1398","REBOLATION","Rebolation é bom bom rebolation é bom","BRA","17B"
"Parangolé","1756","TCHUBIRABIROM","Olha pra frente pra frente","BRA","19C"
"Parangolé","15876","TCHUCO NO TCHACO","Gatinha tô trazendo a novidade que você vai se","BRA","28B"
"Parangole - E o Tchan","17928","SOL, VERAO, RELAXA","E sol, verão, relaxa, esquece","BRA","41E"
"Parangole - Leo Santana","17838","PERNA BAMBA","O novinha malvada quer ir la pra casa","BRA","40M"
"Passenger","19218","LET HER GO","Well you only need the light","EUA","INT06B"
"Patati Patatá","2768","SE VOCÊ QUER SORRIR","Se você quer sorrir é com o Patati","BRA","21D"
"Pat Benatar","2588","FIRE AND ICE","Ooo you're givin' me the fever tonight","EUA","INT04C"
"Pat Benatar","19252","HEARTBREAKER","Your love is like a tidal wave spinnin","EUA","INT06C"
"Pat Boone","4536","LOVE LETTERS IN THE SAND","On a day like today","EUA","USAD"
"Pato Fu","16935","IMPERFEITO","Eu sei que meu amor","BRA","35A"
"Pato Fu","16908","POR PERTO","Num velho disco a vida se desfaz","BRA","34D"
"Pato Fú","6082","ANDO MEIO DESLIGADO","Ando meio desligado eu nem sinto meus pés","BRA","5A"
"Pato Fú","6892","ANORMAL","Rádio ligado troco estações porque","BRA","8A"
"Pato Fú","16532","ANTES QUE SEJA TARDE","Olha nao sou daqui","BRA","32C"
"Pato Fú","6210","CANÇÃO PRA VOCÊ VIVER MAIS","Nunca pensei um dia chegar e te ouvir dizer","BRA","5D"
"Pato Fú","4309","DEPOIS","Não foi dessa vez mas pode ter certeza","BRA","4B"
"Pato Fú","15456","EU","Eu queria tanto encontrar uma pessoa como","BRA","25D"
"Pato Fú","9487","NADA ORIGINAL","Eu sei o que ele vai dizer já posso até prever","BRA","13E"
"Pato Fú","9513","PERDENDO OS DENTES","Pouco adiantou acender cigarro falar palavrão","BRA","13B"
"Pato Fú","15586","PINGA","Eu tomo pinga eu não sei o que é melhor","BRA","26C"
"Pato Fú","15872","SOBRE O TEMPO","Tempo tempo mano velho falta um tanto ainda","BRA","28B"
"Patricia Coelho","6336","MEU SANGUE FERVE POR VOCÊ","Toda a minha vida eu te procurei hoje sou feliz","BRA","5G"
"Patrícia Marx","9637","CERTO OU ERRADO","Certo ou errado certo ou errado quem não pula","BRA","14C"
"Patrícia Marx","3079","ESPELHO D'ÁGUA","Hum seus olhos são espelhos d'água","BRA","1F"
"Patrícia Marx","6416","FESTA DO AMOR","Uô uô uh uô... No livro de leitura que você me","BRA","6A"
"Patrícia Marx","17092","FICAR COM VOCE (I WANNA BE WHERE YOU ARE)","Quando eu te vi fechei os olhos","BRA","36A"
"Patrícia Marx","3226","QUANDO CHOVE","Quando olho nos teus olhos","BRA",""
"Patrícia Marx","1920","SONHO DE AMOR","Se uma estrela cadente o céu cruzar","BRA","20C"
"Patrícia Marx","15136","TE CUIDA MEU BEM","Esse teu jeito de hipnotizar","BRA","23D"
"Patrick Dimon","7001","AL DI LA","Al di la del bene piu prezioso","ITA","INT-ITA"
"Patrick Dimon","7002","AMORE SCUSAMI","Amore scusami","ITA","INT-ITA"
"Patrick Dimon","19187","PIGEON WITHOUT A DOVE","If someone that says goodbye","EUA","INT06A"
"Patrick Hernandez","4690","BORN TO BE ALIVE","Born born to be alive yes we were born","EUA","USAH"
"Patrick Swayze","4767","SHE'S LIKE THE WIND","She's like the wind through my tree","EUA","USAG"
"Patrulha do Samba","4335","RALA NO PEZINHO","Menina chega pra cá","BRA","4B"
"Patrulha do Samba","7233","RODOPIÔ","Menina bela tá na janela tá na espera","BRA","9E"
"Patti Labelle - Michael McDonald","20289","ON MY OWN","So many times saide it was forever","EUA","INT13A"
"Patti Page","4506","CHANGING PARTNERS","We were waltzing together to a","EUA","USAA"
"Patti Page","4586","I WENT TO YOUR WEDDING","I went to your wedding altho' I was","EUA","USAF"
"Patti Smith Group","19121","BECAUSE THE NIGHT","Take me now baby here as I am","EUA","INT05D"
"Paula Abdul","19486","RUSH, RUSH","Uhhh na na na... You're the whisper
","EUA","INT08A"
"Paula Fernandes","1967","APAIXONADOS PELA LUA","Ontem tive um sonho","BRA","21A"
"Paula Fernandes","16049","A PAZ DESSE AMOR","Na hora que você deixou de lado
","BRA","29C"
"Paula Fernandes","15169","CUIDAR MAIS DE MIM","Eu vim falar do que eu perdi","BRA","24A"
"Paula Fernandes","15173","EU SEM VOCÊ","Eu tô carente desse teu abraço","BRA","24A"
"Paula Fernandes","16033","MINEIRINHA FERVEU","Pega na minha cintura e aperta sem ter medo
","BRA","29B"
"Paula Fernandes","15306","NÃO FUI EU","Ei escuta pare de agir feito criança escuta","BRA","24D"
"Paula Fernandes","1435","PÁSSARO DE FOGO","Vai se entregar pra mim como a primeira vez","BRA","17C"
"Paula Fernandes","15974","PIRAÇÃO","Não sei o que faço perdi o juízo
","BRA","29A"
"Paula Fernandes","1705","PRA VOCÊ","Eu quero ser pra você a alegria","BRA","19B"
"Paula Fernandes","15785","QUEM É","Distorções medos e juras pesadelos e agruras","BRA","27D"
"Paula Fernandes","1711","QUERO SIM","Eu tô com saudade da nossa amizade","BRA","19B"
"Paula Fernandes","1369","SEM VOCÊ","Nas incertezas de um caminho que é tão","BRA","17B"
"Paula Fernandes","2758","SENSAÇÕES","Eu me perdi perdi você perdi a voz","BRA","21D"
"Paula Fernandes","15190","SE O CORAÇÃO VIAJAR","Sabe só agora eu pude abrir os olhos","BRA","24A"
"Paula Fernandes","1573","SÓ PENSO EM NÓS","Cansei de mentir pra mim e decidi o que fazer","BRA","18C"
"Paula Fernandes","16239","TRAIDOR","Quem diria voce que insistia em dizer","BRA","30C"
"Paula Fernandes","15197","UM SER AMOR","Você veio inteiro como o dia","BRA","24A"
"Paula Fernandes-Almir Sater","1145","JEITO DE MATO","De onde é que vem esses olhos","BRA","15C"
"Paula Fernandes - Chitãozinho E Xororó","15858","PEGANDO LÁGRIMAS","Meu amor quando você se foi levou junto","BRA","28B"
"Paula Fernandes - Israel e Rodolffo","17579","TA TUDO BEM","Veste a sua roupa e sai","BRA","39B"
"Paula Fernandes-Víctor e Léo","1837","NÃO PRECISA","Você diz que não precisa","BRA","20A"
"Paula Hunter","7172","MAS QUEM DIRIA","Acordei tão só e me senti feliz","BRA","9D"
"Paula Lima","15572","GAFIEIRA S.A.","É que eu fui dançar e você não veio ","BRA","26C"
"Paula Lima","16341","MIL ESTRELAS","Lá lá lá... A vontade de te ver a saudade de você","BRA","31B"
"Paula Lima","17948","O UNIVERSO QUE HABITA EM MIM","Eu fiz um som novo novo novo","BRA","41G"
"Paula Lima","15590","QUERO VER VOCÊ NO BAILE","Quero ver você no baile pelo jeito você vem","BRA","26C"
"Paula Lima - Ucha","18029","TA QUERENDO UM DENGO","Ta querendo um dengo não dou","BRA","41Q"
"Paul Anka","4620","CRAZY LOVE","Crazy love it's just a crazy love I love you","EUA","USAD"
"Paul Anka","4509","DIANA","I'm so young and you're so old this my darling","EUA","USAE"
"Paul Anka","9042","LONELY BOY","I'm just a lonely boy lonely and blue","EUA",""
"Paul Anka","4646","PAPA","Every day my Papa would work to","EUA","USAD"
"Paul Anka","4758","PUPPY LOVE","And they called it puppy love","EUA","USAB"
"Paul Anka - Peter Cetera","20112","HOLD ME TILL THE MORNING COMES","Two broken hearts","EUA","INT11D"
"Paula Toller","9375","A NOITE SONHEI CONTIGO","A noite sonhei contigo e não tava...","BRA","13A"
"Paula Toller","1128","DERRETENDO SATÉLITES","Abro com as mãos te deixo olhar","BRA","15C"
"Paula Toller","16665","ESSA NOITE SEM FIM","Se voce disser que nunca me amou","BRA","33B"
"Paula Toller","9285","MEU AMOR SE MUDOU PRA LUA","Cai a tarde sobre os ombros da montanha onde","BRA","12A"
"Paula Toller","9522","QUEM TOME CONTA DE MIM","Dizem que o amor é cego porém seja onde for","BRA","13E"
"Paula Toller","15871","SERÁ QUE EU VOU ME ARREPENDER","Será que eu vou me arrepender eu sei que a vida","BRA","28B"
"Paula Toller","9566","VOCÊ ME GANHOU DE PRESENTE","Você me ganhou de presente com laço e","BRA","13E"
"Paul Denver","20334","RAIN AND MEMORIES","That silly rain became a real illusion","EUA","INT13F"
"Paulinho da Viola ","6893","ARGUMENTO","La laia... Tá legal... Eu aceito o argumento","BRA","8C"
"Paulinho da Viola ","4315","FOI UM RIO QUE PASSOU EM MINHA VIDA","Se um dia meu coração...","BRA","4B"
"Paulinho da Viola ","6623","NERVOS DE AÇO","Você sabe o que é ter um amor meu","BRA","6F"
"Paulinho da Viola ","15625","SINAL FECHADO","Olá como vai eu vou indo e você tudo bem ","BRA","26D"
"Paulinho da Viola ","17107","TIMONEIRO","Não sou eu quem me navega","BRA","36A"
"Paulinho Moska","7894","A SETA E O ALVO","Eu falo de amor à vida você...","BRA","12D"
"Paulinho Moska","1426","ÍMÃ","Acabo de pousar na sua janela","BRA","17C"
"Paulinho Moska","16293","LAGRIMAS DE DIAMANTES","Nao se preocupe mais","BRA","31A"
"Paulinho Moska","16363","MINHA LAGRIMA SALTA","Fim e para se esquecer de mim","BRA","31C"
"Paulinho Moska","15090","O ÚLTIMO DIA","Meu amor o que você faria se só te restasse um dia","BRA","23C"
"Paulinho Moska","2736","PENSANDO EM VOCÊ","Eu estou pensando em você","BRA","21C"
"Paulinho Moska","9865","QUANTAS VIDAS VOCÊ TEM?","Meu amor Vamos falar sobre o passado depois","BRA","14A"
"Paulinho Moska","15873","SOMENTE NELA","Estar apaixonado é uma coisa louca","BRA","28B"
"Paulinho Moska","9570","VONTADE","Todo mundo tem alguma vontade alguma coisa","BRA","13A"
"Paul McCartney","9090","ANOTHER DAY","Ev'ry day she takes a morning bath wraps a","EUA","INT02-8D"
"Paul McCartney","4705","EBONY AND IVORY","Ebony and ivory live together in perfect","EUA","USAC"
"Paul McCartney","4746","NO MORE LONELY NIGHTS","I can wait another day until I call you","EUA","USAC"
"Paul McCartney - Michael Jackson","20026","SAY SAY SAY","Say say say what you want","EUA","INT11B"
"Paulo César Baruk","7862","QUANTO AMOR","Quanto amor quanto amor Ele tem por mim","BRA","EVD"
"Paulo César Baruk","2994","REINA EM MIM","Sobre toda a Terra Tu és o Rei sobre","BRA","EVAN04D"
"Paulo Diniz","7573","COMO VOU DEIXAR VOCÊ","Como vou deixar você se eu te amo","BRA","11D"
"Paulo Diniz","1564","E AGORA JOSÉ","E agora José a festa acabou a luz apagou","BRA","18C"
"Paulo Diniz","6666","O MEU AMOR CHOROU","O meu amor chorou não sei por que razão","BRA","7A"
"Paulo Diniz","3765","PINGOS DE AMOR","A vida passa, telefono e você","BRA","2D"
"Paulo Diniz","7416","PONHA UM ARCO-ÍRIS NA SUA MORINGA","Ponha um arco-íris na sua moringa fique lelé","BRA","10C"
"Paulo Diniz","7426","QUERO VOLTAR PRA BAHIA","I don't want to stay here I wanna to go back to","BRA","10E"
"Paulo Diniz","3735","UM CHOPE PRA DISTRAIR","Ela passou, deixando um sorriso no","BRA","2C"
"Paulo Diniz","15800","VOU-ME EMBORA","Vou-me embora vou-me embora vou buscar","BRA","27D"
"Paulo Miklos","16469","ESTOU PRONTO","Agora o tempo passar por mim","BRA","32A"
"Paulo Miklos","6135","HOJE","Uma noite bem dormida uma boa refeição","BRA","5B"
"Paulo Miklos","16284","VOU TE ENCONTRAR","Olha ainda estou aqui
","BRA","31A"
"Paulo Ricardo","7892","A CHEGADA","A asa do avião o coração no meio da bagagem","BRA","12B"
"Paulo Ricardo","4231","COMO SE FOSSE A PRIMEIRA VEZ","Desde que eu te conheci","BRA","3H"
"Paulo Ricardo","3910","DOIS","Quando você disse nunca mais","BRA","2H"
"Paulo Ricardo","6314","SONHO LINDO","Sonho lindo que se foi esperança que esqueci","BRA","5F"
"Paulo Ricardo","4059","TUDO POR NADA","Se eu soubesse que ia ser assim","BRA","3C"
"Paulo Sérgio","2891","MÁQUINAS HUMANAS","Chega um dia em que a gente","BRA","22C"
"Paulo Sérgio","15038","MEU FILHO DEUS QUE LHE PROTEJA","Eu recordo com felicidade dia mês e hora","BRA","23A"
"Paulo Sérgio","7388","MINHAS QUALIDADES, MEUS DEFEITOS","Eu me lembro aquele dia que você apareceu","BRA","10C"
"Paulo Sérgio","15054","NÃO CREIO EM MAIS NADA","Não sei o que faço a minha vida é uma luta","BRA","23B"
"Paulo Sérgio","2731","NEM VEJO A HORA DE VOLTAR AOS BRAÇOS SEUS","Quando eu partir não quero ver","BRA","21C"
"Paulo Sérgio","4486","NO DIA EM QUE PARTI","No dia em que parti Você chorou","BRA","4F"
"Paulo Sérgio","7667","PELO AMOR DE DEUS","Pelo amor de Deus por favor me leva embora","BRA","11E"
"Paulo Sérgio","3734","ÚLTIMA CANÇÃO","Esta é a última canção que eu faço","BRA","2C"
"Paulo Sérgio","2680","VEJA","Veja meus olhos tristes choram tanto por","BRA","21B"
"Paulo Sérgio","1810","VOCÊ PODE ME PERDER","As suas brigas não vão resolver","BRA","20A"
"Paul Young","4887","EVERYTIME YOU GO AWAY","Hey if we can solve any problem","EUA",""
"Peabo Bryson - Celine Dion","4815","BEAUTY AND THE BEAST","Uh uh uh uh tale as old as time true as it can","EUA",""
"Peabo Bryson-Regina Belle","9001","A WHOLE NEW WORLD","I can show you the world shining shimmering","EUA",""
"Peaches and Herb","9160","REUNITED","I was a fool to ever leave your side","EUA","INT02-8F"
"Peao Carreiro e Ze Paulo","16607","PORTA DO MUNDO","O som da viola bateu no meu peito","BRA","33A"
"Peão Carreiro e Zé Paulo","6811","BERRANTE DA SAUDADE","Quanta saudade de um berrante repicando","BRA","7E"
"Pearl Jam","19367","ALIVE","Son she said have I got a little story for you
","EUA","INT07B"
"Pearl Jam","19123","BETTER MAN","Waitin' watchin' the clock it's four o'clock...
","EUA","INT05D"
"Pearl Jam","5874","BLACK","Hey oooh sheets of empty canvas untouched","EUA",""
"Pearl Jam","19609","DAUGHTER","Alone listless
","EUA","INT08D"
"Pearl Jam","9257","EVEN FLOW","Freezin' rests his head on a pillow made","EUA",""
"Pearl Jam","20384","I AM MINE","The selfish they re all standing in line","EUA","INT13L"
"Pearl Jam","5926","JEREMY","At home drawing pictures of mountain top","EUA",""
"Pearl Jam","20653","JUST BREATHE","Yes I understand that every life must end","EUA","INT15F"
"Pearl Jam","9132","LAST KISS","Oh where oh where can my baby be","EUA","INT02-8D"
"Pearl Jam","20559","SIRENS","Hear the sirens hear the sirens","EUA","INT14M"
"Pearl Jam","9172","SOLDIER OF LOVE","Lay down your arms and surrender to me","EUA","INT02-8F"
"Pedindo Bis","9578","A GENTE BOTA PRA QUEBRAR","Hoje você não se zanga quando eu vou","BRA","14D"
"Pedra Letícia","15477","TEOREMA DE CARLÃO","Ei você ai isso vai mudar sua vida então","BRA","25D"
"Pedro Barreto","6937","MEDO","Medo do trovão medo do escuro assombração","BRA","8C"
"Pedro & Capricious","18251","GOBANGAI NO MARY E","Gobangai e itta naraba Mary no ie e yuki","JAP","JP6B"
"Pedro & Capricious","18257","JOHNNY E NO DENGON","Johnny ga kita nara tsutaete yo nijikan","JAP","JP6B"
"Pedro & Capricious","2308","WAKARE NO ASA","Wakare no asa futari wa sameta","JAP","JP5C"
"Pedro e Thiago","6411","É MELHOR ASSIM","Eu só vim pra te falar good bye good by","BRA","6A"
"Pedro e Thiago","6584","PRA ONDE VOCÊ FOR (WHEREVER YOU WILL GO)","De noite eu penso quem estará no meu","BRA","6E"
"Pedro e Thiago","6392","TOQUE DE MÁGICA","Quando a noite chegar tô pensando em","BRA","5H"
"Pedro Henrique e Fernando - Munhoz e Mariano","15480","VARINHA MÁGICA","Respeitável público o circo está chegando","BRA","25D"
"Pedro Luís","15214","CAIO NO SUINGUE","Eu caio no suingue é pra me consolar","BRA","24B"
"Pedro Luís e A Parede","1504","ANIMAL","Animal bem que quando o seu sangue pensa","BRA","18A"
"Pedro Mariano","7151","GRANDE AMOR","Quem não quer ser feliz quem não quer se","BRA","9F"
"Pedro Mariano","7628","LUA PRA GUARDAR","Quando a lua vem eu estou aqui","BRA","11C"
"Pedro Mariano","15343","MIRAGEM","Amar sem ver se vai doer","BRA","25A"
"Pedro Mariano","2870","NAU","É quando eu sinto que falta algo","BRA","22C"
"Pedro Mariano","7213","PODE SER","Já me acostumei com a insegurança","BRA","9C"
"Pedro Mariano","2926","PRA VOCÊ DAR O NOME","Deixa pra lá que de nada adianta","BRA","22D"
"Pedro Mariano","9323","QUASE AMOR","Que poder é esse e o que que eu fiz","BRA","12D"
"Pedro Mariano","2930","SIMPLESMENTE","Simplesmente posso esperar","BRA","22D"
"Pedro Mariano","7247","SÓ CHAMAR","Na madrugada ela me liga não...","BRA","9F"
"Pedro Mariano","16078","UM POUCO MAIS PERTO","Quando cheguei um pouco mais perto
","BRA","29C"
"Pedro Mariano","7278","VOCÊ VAI VER (VERSÃO POP)","Você vai ver você vai...","BRA","9C"
"Pedro Mariano","7279","VOZ NO OUVIDO","Tava esperando um telefonema teu","BRA","9F"
"Pedro Nassif","1534","NÃO CUSTA TENTAR","Te conhecer foi a melhor...","BRA","18B"
"Pedro Paulo e Matheus","1452","EU VOU TE BUSCAR","Eu vou te buscar... Meu amor pra te namorar","BRA","17D"
"Pedro Paulo e Matheus","1531","MINTA, FINJA","Minta que esse abraço não te aqueceu","BRA","18B"
"Pedro Paulo e Matheus","1630","SAUDADE","Hoje me bateu uma saudade de você","BRA","18D"
"Pedro Sampaio - Daniel Caon - Wesley Safadão","17253","FALA MAL DE MIM","Para de queimar o filme que tu mais ama","BRA","37B"
"Pedro Sampaio - MC GW - MC Talibã - MC Debby","17939","SEQUENCIA STRIPTEASE","Oi vem se divertir mulher sensualiza ai gostosa","BRA","41F"
"Pedro Sampaio - Pabllo Vittar","17606","SAL","Ela e gatinha dentro de casa","BRA","39E"
"Pedro Sampaio - Ze Felipe","17597","OLHADINHA","Tudo comecou quando ela jogou","BRA","39D"
"Pedro Sampaio - Ze Vaqueiro","17400","VAI EMBORA NAO","Olha pro tempo que voce gastou com quem não","BRA","37R"
"Pe. Fábio de Mello","1248","DEUS É CAPAZ","Deus é capaz de transformar tua vida","BRA","16C"
"Pe. Fábio de Mello","6290","ELE ESTÁ PRA CHEGAR","Se ilumine na luz das estrelas se aquela nos","BRA","5F"
"Pe. Fábio de Mello","4356","IÊ IÊ IÊ DE JESUS","Iê iê iê... Ou ou ou... Reza reza reza","BRA","4C"
"Pe. Fábio de Mello","7650","NOITES TRAIÇOEIRAS","Deus está aqui neste momento sua presença","BRA","11A"
"Pe. Fábio de Mello","4328","O VIRA DE JESUS","E os homens por que vieram","BRA","4B"
"Pe. Fábio de Mello","15191","SEJA BEM-VINDO","Pode chegar seja bem vindo ao coração","BRA","24A"
"Pe. Fábio de Mello","1316","TUDO POSSO","Posso tudo posso naquele que me fortalece","BRA","16D"
"Pe. Fábio de Mello","1139","VIDA","Pelas ruas da cidade pessoas andam num","BRA","15C"
"Peggy Hayama","18440","YOAKE NO MELODY","Asa no hikari ga sashikomu...","JAP","JP7B"
"Peggy Lee","4529","JOHNNY GUITAR","Play the guitar play it again my Johnny","EUA","USAD"
"Peixe Elétrico","6218","FELICIDADE","Fiquei feliz quando te vi por aqui fiquei feliz","BRA","5D"
"Pe. Marcelo-Bruno e Marrone","7651","NOSSA SENHORA DO BRASIL","Fonte de amor e luz estrela que conduz aonde","BRA","11E"
"Pena Branca e Xavantinho","6480","VIOLA QUEBRADA","Quando da brisa no açoite a flor da noite","BRA","6B"
"Penélope","7976","HOLIDAY","São três horas da manhã...","BRA","12D"
"Penélope","2836","NAMORINHO DE PORTÃO","Namorinho de portão biscoito café meu","BRA","22B"
"Peninha","9588","ABRE CORAÇÃO","Vê se tira de uma vez toda a mágoa do seu","BRA","14D"
"Peninha","7055","AMO VOCÊ","Não me olhe assim desse jeito meu bem","BRA","9C"
"Peninha","4464","ARREPIA","Nós estamos dando certo","BRA","4F"
"Peninha","4359","MATEMÁTICA","Você gosta de sonhar olhando as estrelas","BRA","4C"
"Peninha","4050","QUAL CARÍCIA","Você faz tudo que eu gosto","BRA","3C"
"Peninha","4177","SÓ EU E VOCÊ","Não sei se é de noite...","BRA","3F"
"Peninha","3936","SONHOS","Tudo era apenas uma brincadeira","BRA","2H"
"Pepê e Nenem","6015","ESPERANDO PRA TE AMAR","Hum ah ah ah Ié... Esse seu jeito bom","BRA","4G"
"Pepê e Nenem","4200","MAIS UMA VEZ","Eu sei que dá","BRA","3G"
"Pepê e Nenem","4121","MANIA DE VOCÊ","Por que você não vem ficar comigo","BRA","3E"
"Pepê e Nenem","4401","NADA ME FAZ ESQUECER","Na na na... Se você for embora vou fingir","BRA","4D"
"Pepê e Nenem","4324","NA MAIOR","Lua de cristal sonho perigoso de viver","BRA","4B"
